"id","text","rev","issue","book","date","pageno","readingorder","inscribed","isheader","noadvert","lang","rnotes","expert_text","fragment1","fragment2","fragment3","fragment4","fragment5","fragment6","fragment7","fragment8","fragment9","fragment10","header_tag"
"temp-1776-005-000","es wird zum Verkauf angetragen:","N",1,18614,1776-01-04,5,1,1,TRUE,FALSE,,,,"https://iiif.avisblatt.freizo.org/image/18619_0000/333,1561,1495,182/full/0/default.jpg","","",,,,,,,,"saleoffer"
"temp-1776-005-001","1. Ein noch soviel als neues tüchenes Kleid samt Westen und Hosen, gelber Farb mit Eichel-Knöpfen à 7. N. Thaler äusserster Preis, im Berichthaus zu erfragen.","N",1,18614,1776-01-04,5,2,1,FALSE,FALSE,,,,"https://iiif.avisblatt.freizo.org/image/18619_0000/323,1743,1505,327/full/0/default.jpg","","",,,,,,,,"saleoffer"
"temp-1776-005-002","2. Guter weisser Wein von An. 1774. der Saum à 12. HB. wovon man nach Belieben haben kan, bey Mstr. Friederich Loz dem Küefer hinterm Münster zu erfragen.","N",1,18614,1776-01-04,5,3,1,FALSE,FALSE,,,,"https://iiif.avisblatt.freizo.org/image/18619_0000/323,2070,1505,307/full/0/default.jpg","","",,,,,,,,"saleoffer"
"temp-1776-005-003","3. Bey Frau Wittib Fäsch an der Schneidergaß sind zu haben; schöne frische Holländische Picking in billichem Preis.","N",1,18614,1776-01-04,5,4,1,FALSE,FALSE,,,,"https://iiif.avisblatt.freizo.org/image/18619_0000/313,2377,1515,242/full/0/default.jpg","","",,,,,,,,"saleoffer"
"temp-1776-005-004","4. Ein artiges Kinder-Kütschlein mit 4. Rädern, in billichem Preis, im Berichthaus zu erfragen.","N",1,18614,1776-01-04,5,5,1,FALSE,FALSE,,,,"https://iiif.avisblatt.freizo.org/image/18619_0000/318,2619,1510,231/full/0/default.jpg","","",,,,,,,,"saleoffer"
"temp-1776-005-005","5. Ein ganz neu faconirter silberner Degen, in billichem Preis, im Berichthaus ohnentgeltlich zu erfragen.","N",1,18614,1776-01-04,5,6,1,FALSE,FALSE,,,,"https://iiif.avisblatt.freizo.org/image/18619_0000/323,2850,1505,227/full/0/default.jpg","","",,,,,,,,"saleoffer"
"temp-1776-005-006","6. Ein Seidenrädlein mit etlichen Häspeln, im Berichthaus ohnentgeltlich zu erfragen und à 20. Batzen zu haben.","N",1,18614,1776-01-04,5,7,1,FALSE,FALSE,,,,"https://iiif.avisblatt.freizo.org/image/18619_0000/333,3077,1495,241/full/0/default.jpg","","",,,,,,,,"saleoffer"
"temp-1776-005-007","7. Bey der Jgfr. Nübling am Schaafgäßlein sind schöne Kastanien à 1. Batzen das Pfund. Item extra gutes schwarzes Kirßwasser à fl. i. die Maas.","N",1,18614,1776-01-04,5,8,1,FALSE,FALSE,,,,"https://iiif.avisblatt.freizo.org/image/18619_0000/323,3318,1505,308/full/0/default.jpg","","",,,,,,,,"saleoffer"
"temp-1776-005-008","8. Ungefehr 50. Maas 2 jähriges Kirßwasser: à 16. Batzen die Maas; alles aber miteinander genommen à fl. i. die Maas, wo Muster zu haben, ist im Berichthaus zu erfragen.","N",1,18614,1776-01-04,5,9,1,FALSE,FALSE,,,,"https://iiif.avisblatt.freizo.org/image/18619_0000/323,3626,1505,392/full/0/default.jpg","","",,,,,,,,"saleoffer"
"temp-1776-005-009","9. Bey Herrn Martin Bruckner in der Aescher Vorstadt ist zu haben: Extra guter Hypokras die Maas à 10. Batzen. Veritabler Mallaga-Wein von An. 1762 die grosse Boutenille à fl. 1. Feine Ulmergersten à 3. ß. das Pfund. Schöne trockene Morcheln, das Pfund à 36. Batzen. Gutes starkes Kirßwasser à fl. 1. süsses dito à 12. Batzen die Maas.","N",1,18614,1776-01-04,5,10,1,FALSE,FALSE,,,,"https://iiif.avisblatt.freizo.org/image/18619_0000/323,4018,1505,272/full/0/default.jpg","https://iiif.avisblatt.freizo.org/image/18619_0000/1864,1566,1490,474/full/0/default.jpg","",,,,,,,,"saleoffer"
"temp-1776-005-011","10. Bey Herrn Bauler Jgr. an der untern Freyenstraß sind frisch angelangte susse Holländische Picking und neue Oliben zu haben.","N",1,18614,1776-01-04,5,11,1,FALSE,FALSE,,,,"https://iiif.avisblatt.freizo.org/image/18619_0000/1864,2040,1490,236/full/0/default.jpg","","",,,,,,,,"saleoffer"
"temp-1776-005-012","11. Im Rahthaus in Hüningen sind gute gegossene 1oner Kertzen à 3. Batzen das B. zu haben.","N",1,18614,1776-01-04,5,12,1,FALSE,FALSE,,,,"https://iiif.avisblatt.freizo.org/image/18619_0000/1859,2276,1495,232/full/0/default.jpg","","",,,,,,,,"saleoffer"
"temp-1776-005-013","12. Ein junges Budelhündlein männl. Art, in billichem Preis, im Berichthaus zu erfragen.","N",1,18614,1776-01-04,5,13,1,FALSE,FALSE,,,,"https://iiif.avisblatt.freizo.org/image/18619_0000/1859,2508,1495,231/full/0/default.jpg","","",,,,,,,,"saleoffer"
"temp-1776-005-014","13. In der Nachbarschafft von Freyburg im Breisgau, stehet ein vorzuglich guter Concert-Flügel zu verkaufen. Es ist derselbe 9 und ein halben Schuh lang, 4 und ein halben breit. Die Clavigatur ist 3. Schuh breit, die Höhe des Resonanz-Bodens macht 9. Zoll. Er hat 5. vollständige Octaven, 2. Clavigaturen: 5. Züge mit allenlihren Variationen. Die Arbeit ist eine vonlden besten des beruhmten Friderici in Gotha. Auswendig ist er von dem schönsten Nußbaum-fournirt: und die Targenten sind für die Semitonig alle vom schönsten Ebenholi, die übrigen von dem schönsten Elfenbein, welches sowol in Ansehung der weissen Farbe, als der Reinheit ganz besonders auserlesen worden. Der genaueste Preis ist 40. Neue Louisdors, man kan aber für dessen Gute um so eher bürgen, da da dieser Flügel schon über 6. Jahre lang beständig gebraucht worden, und weder am Resonanz-Boden noch sonst das mindeste gelitten, noch einige Reparatur nöthig gehabt. Wenn Liebhaber jemand in Freyburg oder der dasigen Gegend Commißion geben wollen, so kan er alle Tage besichtiget werden. Ferner eine ansehnliche Sammlung antiques Medailles, bestehend aus 14. Stück in Gold. 785. Stück in Silber. 178. Stück groß Ertz. 319. Stück mittel Ertz. 273. Stuck klein Ertz. In allem 1596. Stück. Ein Liebhaber und Kenner hat sie ehedem in Italien mit vieler Mühe und Kösten gesammlet, so daß man schwär haben wurde, eine solche schöne Suite, in dem Laufe mehrerer Jahren zusammen zu bringen; Der Catalogus davon, der communicirt kan werden, wird das mehrere anzeigen, und der Preis wird sehr bilig gemacht werden. Im Berichthaus kan man vernehmen, wo man sich um beyde Sachen anmelden kan, desgleichen auch um folgendes Eine extra schöne grosse ganz neue nußbäumerne Walzen mit einer eisernen Art, 3. Schuh- 7. Zoll lang und 15. Zoll französ. Maaß im Durchschnitt dick, wäre sehr bequem zu einer Calandre in eine Indiennen-Fabricke. Ferner ein soviel als neuer Feder-Bräter, in einem hölzernen Gehäus. Zwey neue Thee-Maschinen eine grosse und eine etwas kleiner nach neuester façon; um die Kohlen in der Mitte in ein Rohr zu thun. Eine mittelgrosse noch brauchbare Hausthüren, wohl beschlagen, und verschiedene Geräthschafften vor franzosische Kamin, als Blasbalg, Klammeren und Schäufelein, gan; neu.","N",1,18614,1776-01-04,5,14,1,FALSE,FALSE,,,,"https://iiif.avisblatt.freizo.org/image/18619_0000/1859,2739,1495,1546/full/0/default.jpg","https://iiif.avisblatt.freizo.org/image/18620_0000/464,551,1503,3290/full/0/default.jpg","",,,,,,,,"saleoffer"
"temp-1776-006-001","14. Eine ganze Behausung an der Rheingaß neben Herrn Notarius und Gerichtsherr: Linder, von 4. Stuben, 6. Kammern, Stall und Keller, weshalb sich bey Herrn Thierrin Rothgerber anzumelden.","N",1,18614,1776-01-04,6,1,2,FALSE,FALSE,,,,"https://iiif.avisblatt.freizo.org/image/18620_0000/449,3841,1518,417/full/0/default.jpg","","",,,,,,,,"saleoffer"
"temp-1776-006-002","15. Ein branner Canadischer Weiberstoß oder Baril von Zobel, auf die neueste Art, im Berichthaus zu erfragen.","N",1,18614,1776-01-04,6,2,2,FALSE,FALSE,,,,"https://iiif.avisblatt.freizo.org/image/18620_0000/1977,545,1543,260/full/0/default.jpg","","",,,,,,,,"saleoffer"
"temp-1776-006-003","16. Ein Stock gutes Heu und Emdt, in billichem Preis, im Berichthaus ohnentgeltlich zu erfragen.","N",1,18614,1776-01-04,6,3,2,FALSE,FALSE,,,,"https://iiif.avisblatt.freizo.org/image/18620_0000/1977,805,1543,240/full/0/default.jpg","","",,,,,,,,"saleoffer"
"temp-1776-006-004","17. Bey Mstr. Mathias Baßler dem Weißbeck in klein Basel sind schone Spanferckel in billichem Preis zu haben.","N",1,18614,1776-01-04,6,4,2,FALSE,FALSE,,,,"https://iiif.avisblatt.freizo.org/image/18620_0000/1977,1045,1543,229/full/0/default.jpg","","",,,,,,,,"saleoffer"
"temp-1776-006-005","18. Extra guter pur rother 74ger Wein, zu Hypokras dienlich, à 24. und 30. H. der Saum, im Berichthaus zu erfragen.","N",1,18614,1776-01-04,6,5,2,FALSE,FALSE,,,,"https://iiif.avisblatt.freizo.org/image/18620_0000/1977,1274,1543,234/full/0/default.jpg","","",,,,,,,,"saleoffer"
"temp-1776-006-006","19. Bey Herrn Martin Stähelin an der Spalen, sind, nebst seinen andern schon bekanten Waaren, schöne frische Mollesisch in billichem Preis zu haben.","N",1,18614,1776-01-04,6,6,2,FALSE,FALSE,,,,"https://iiif.avisblatt.freizo.org/image/18620_0000/1977,1508,1543,311/full/0/default.jpg","","",,,,,,,,"saleoffer"
"temp-1776-006-007","20. Wo extra feiner Feclo-Thee mit weissen Spitzen zu haben, ist im Berichthaus zu erfragen.","N",1,18614,1776-01-04,6,7,2,FALSE,FALSE,,,,"https://iiif.avisblatt.freizo.org/image/18620_0000/1977,1819,1543,239/full/0/default.jpg","","",,,,,,,,"saleoffer"
