"id","text","rev","issue","book","date","pageno","readingorder","inscribed","isheader","noadvert","adcontent","adtype","finance","keyword","lang","rnotes","expert_text","fragment1","fragment2","fragment3","fragment4","fragment5","fragment6","fragment7","fragment8","fragment9","fragment10","header_tag"
"3629231a-afe0-5a1f-9f2f-50450caf3884/t0","MEin Leser! sage Danck dem treuen Menschenhüter, GoTT, der uns Jahr und Tag nun hat mit Speiß und Tranck, Zu Seel und Leib versorgt! sag Danck für seine Güter, Gesundheit, Freyheit, Fried. Mein Leser! sage Danck! Bitt nun um neue Gnad! dann sonst sind unsre Mauren, Geld, Mannschafft und Gewehr, Freyheit und gantzer Staat, Ein Schnee, ein Rauch,ein Traum, ein Sach von kleinem Dauren, Wo GOTT nicht alles ist; drum bitt um neue Gnad! Bleib deinem GOTT getreu, durch ihn den Nächsten liebe, Sein Wort und Sacrament der Seelen-Labsal sey! In Arbeit und Gebett gottseliglich dich übe; Dann segnet GOTT aufs Neü; drum bleibe GOTT getreu! Mein Rath ist wohlgemeynt! so meyne es auch immer, Mein Leser! wohl mit mir, so sind wir wohl vereint! So forderts auch die Noth; Zeit und Leuth werden schlimmer, Drum helffe uns nun GOTT! mein Rath ist wohlgemeynt.","N",1,22867,1735-01-04,3,1,"unpaginiert",FALSE,FALSE,,,,,"de",,,"https://iiif.avisblatt.freizo.org/image/22870_0000/158,2150,4166,2712/full/0/default.jpg","",,,,,,,,,""
"3629231a-afe0-5a1f-9f2f-50450caf3884/t1","Es wird zum Verkauff angetragen:","N",1,22867,1735-01-04,3,2,"unpaginiert",TRUE,FALSE,,,,,"de",,,"https://iiif.avisblatt.freizo.org/image/22870_0000/184,4967,2033,161/full/0/default.jpg","",,,,,,,,,"saleoffer"
"3629231a-afe0-5a1f-9f2f-50450caf3884/t2","1. Ein noch gantz neues extra sauber und feines Frantzösisches Flinthen-Schloß in raisonablem Preiß.","N",1,22867,1735-01-04,3,3,"unpaginiert",FALSE,FALSE,,,,,"de",,,"https://iiif.avisblatt.freizo.org/image/22870_0000/184,5128,2033,164/full/0/default.jpg","",,,,,,,,,"saleoffer"
"3629231a-afe0-5a1f-9f2f-50450caf3884/t3","2. Guter Italjänischer Muscateller die Bouteille um 10. Batzen ist im Adresse-Contor zu haben.","N",1,22867,1735-01-04,3,4,"unpaginiert",FALSE,FALSE,,,,,"de",,,"https://iiif.avisblatt.freizo.org/image/22870_0000/184,5292,2034,157/full/0/default.jpg","",,,,,,,,,"saleoffer"
"3629231a-afe0-5a1f-9f2f-50450caf3884/t4","5. Ein extra sauberer nußbäumerner Kasten, mit zwo Thüren. n 3.","N",1,22867,1735-01-04,3,5,"unpaginiert",FALSE,FALSE,,,,,"de",,,"https://iiif.avisblatt.freizo.org/image/22870_0000/184,5449,2035,65/full/0/default.jpg","",,,,,,,,,"saleoffer"
"3629231a-afe0-5a1f-9f2f-50450caf3884/t5","4. Ein noch fast gantz neues wohl-conditionirtes Clavicordium, mit schöner Resonan2.","N",1,22867,1735-01-04,3,6,"unpaginiert",FALSE,FALSE,,,,,"de",,,"https://iiif.avisblatt.freizo.org/image/22870_0000/184,5514,2036,153/full/0/default.jpg","",,,,,,,,,"saleoffer"
"3629231a-afe0-5a1f-9f2f-50450caf3884/t6","5. Ein schwartzer tüchener Mantel für eine Mann-Persohn, 1.f mittelmäßiger Grösse.","N",1,22867,1735-01-04,3,7,"unpaginiert",FALSE,FALSE,,,,,"de",,,"https://iiif.avisblatt.freizo.org/image/22870_0000/184,5667,2037,148/full/0/default.jpg","",,,,,,,,,"saleoffer"
"3629231a-afe0-5a1f-9f2f-50450caf3884/t7","6. Ein sehr guter und solider gezogener Hacken oder Stutzer.","N",1,22867,1735-01-04,3,8,"unpaginiert",FALSE,FALSE,,,,,"de",,,"https://iiif.avisblatt.freizo.org/image/22870_0000/184,5815,2038,83/full/0/default.jpg","",,,,,,,,,"saleoffer"
"3629231a-afe0-5a1f-9f2f-50450caf3884/t8","7. Saiffen- und Mandeln-Kugeln, seynd aber nicht zum Barbieren, sondern nur zum Handwaschen dienlich , das Stuck à 3. ß.","N",1,22867,1735-01-04,3,9,"unpaginiert",FALSE,FALSE,,,,,"de",,,"https://iiif.avisblatt.freizo.org/image/22870_0000/184,5898,2040,139/full/0/default.jpg","",,,,,,,,,"saleoffer"
"3629231a-afe0-5a1f-9f2f-50450caf3884/t9","8. Ein künstlich gemachter mößingener Leuchter zu fünff Liechtern dene man nicht hängen, sondern auf eine Tafel stellen und dar- . mit selbige sowohl als das gantze Zimmer schön beleüchten kan; ist im Adresse-Contor zu sehen und um billichen Preiß zu haben.","N",1,22867,1735-01-04,3,10,"unpaginiert",FALSE,FALSE,,,,,"de",,,"https://iiif.avisblatt.freizo.org/image/22870_0000/184,6037,2043,320/full/0/default.jpg","",,,,,,,,,"saleoffer"
