"id","text","rev","issue","book","date","pageno","readingorder","inscribed","isheader","noadvert","adcontent","adtype","finance","keyword","lang","rnotes","expert_text","fragment1","fragment2","fragment3","fragment4","fragment5","fragment6","fragment7","fragment8","fragment9","fragment10","header_tag"
"1c5ceb0c-e54b-5576-9608-6515d97e20bb/t0","BIs hieher hat der HErr, so gnädig, uns geholffen: So that der GOttes-Mann, der theüre Sa- [1 Sam. VIl. 12.] muel, Nach groß erlangtem Sieg, voll Danckbarkeit ausruffen. Wenn wir an unserm Theil, das, was zu Leib und Seel Der Höchste hat gethan an uns, biß diese Stunde, So wohl in genere, als auch insonderheit, Betrachten, schallet auch, aus unsers Hertzens-Grunde: Gelobet sey der HErr in Zeit und Ewigkeit: Denn Er ists, der uns hat in Ruh und Fried erhalten; Mit Allem, was zu Leib und Seele nötig war, Geseegnet und versorgt: Er woll noch ferner walten Ob unsrer Statt und Land, in diesem neuen Jahr!","N",1,24938,1748-01-04,3,1,1,FALSE,FALSE,,,,,"de",,,"https://iiif.avisblatt.freizo.org/image/24941_0000/184,1907,3276,1683/full/0/default.jpg","",,,,,,,,,""
"1c5ceb0c-e54b-5576-9608-6515d97e20bb/t1","Es wird zum Verkauff angetragen:","N",1,24938,1748-01-04,3,2,1,TRUE,FALSE,,,,,"de",,,"https://iiif.avisblatt.freizo.org/image/24941_0000/255,3716,1613,159/full/0/default.jpg","",,,,,,,,,"saleoffer"
"1c5ceb0c-e54b-5576-9608-6515d97e20bb/t2","1. Ein, underhalb dem Graben-Lettner in St. Leonhards -Kirch wohlgelegener, Weibersitzz, um billichen Preiß.","N",1,24938,1748-01-04,3,3,1,FALSE,FALSE,,,,,"de",,,"https://iiif.avisblatt.freizo.org/image/24941_0000/261,3875,1607,234/full/0/default.jpg","",,,,,,,,,"saleoffer"
"1c5ceb0c-e54b-5576-9608-6515d97e20bb/t3","2. Eine Behausung an der Gerbergaß neben Herrn Hieronymus Gemuseus, hinten an das Gerbergäßlin stossend; hat das Feür-Recht und sonst Gelegenheit wie der Augenschein zeigen wird; und ist sich darum bey der verwittibten Frau Geßlerin zu St. Peter anzumelden. In Ermanglung eines Kaüffers ist solche samethafft zu verleyhen. beides um billichen Preiß.","N",1,24938,1748-01-04,3,4,1,FALSE,FALSE,,,,,"de",,,"https://iiif.avisblatt.freizo.org/image/24941_0000/251,4109,1617,256/full/0/default.jpg","https://iiif.avisblatt.freizo.org/image/24941_0000/1914,3696,1582,403/full/0/default.jpg",,,,,,,,,"saleoffer"
"1c5ceb0c-e54b-5576-9608-6515d97e20bb/t5","3. Ein noch junger sehr geschickt und gelehrsamer schöner schwartzer Budel-Hund, welcher in dem Wasser und auf dem Land zu gebrau- à chen chen, und in dem Berichthaus zu erfragen ist.","N",1,24938,1748-01-04,3,5,1,FALSE,FALSE,,,,,"de",,,"https://iiif.avisblatt.freizo.org/image/24941_0000/1914,4099,1582,301/full/0/default.jpg","https://iiif.avisblatt.freizo.org/image/24942_0000/383,434,1572,158/full/0/default.jpg",,,,,,,,,"saleoffer"
"bfff7b0d-cdff-5fd3-9dcf-3c05c6b9ffe5/t1","4. Ein Leid-Mantel von krausem Creppon, welcher im Berichthaus zu sehen und um zwey Thaler zu haben ist.","N",1,24938,1748-01-04,4,1,2,FALSE,FALSE,,,,,"de",,,"https://iiif.avisblatt.freizo.org/image/24942_0000/358,592,1597,235/full/0/default.jpg","",,,,,,,,,"saleoffer"
"bfff7b0d-cdff-5fd3-9dcf-3c05c6b9ffe5/t2","5. Ein gut und accurates Hang-Uehrlin, so die Stunden zeiget und einen Wecker hat, à 6. fl.","N",1,24938,1748-01-04,4,2,2,FALSE,FALSE,,,,,"de",,,"https://iiif.avisblatt.freizo.org/image/24942_0000/363,827,1592,132/full/0/default.jpg","",,,,,,,,,"saleoffer"
"bfff7b0d-cdff-5fd3-9dcf-3c05c6b9ffe5/t3","6. Ein Stock von ohngefehr 7. Wägen des besten ohnberegneten dißjährigen Heües, welches in einem Dorff eine Stunde von hier ligt, um billichen Preiß.","N",1,24938,1748-01-04,4,3,2,FALSE,FALSE,,,,,"de",,,"https://iiif.avisblatt.freizo.org/image/24942_0000/363,959,1592,301/full/0/default.jpg","",,,,,,,,,"saleoffer"
"bfff7b0d-cdff-5fd3-9dcf-3c05c6b9ffe5/t4","7. Ohngefehr 80. Stuck gebohrte Teüchel von schön und danerhafftem roth siechtenem Holtz 17. bis 18. Schuhe lang, an dem dickesten Ort 15. bis 16. Zoll in Diametro mit einem Loth von fünffthalben Zoll, samt denen eisernen Ringen oder Büchsen, samethafft oder zertheilt, um billichen Preiß.","N",1,24938,1748-01-04,4,4,2,FALSE,FALSE,,,,,"de",,,"https://iiif.avisblatt.freizo.org/image/24942_0000/363,1260,1592,526/full/0/default.jpg","",,,,,,,,,"saleoffer"
"bfff7b0d-cdff-5fd3-9dcf-3c05c6b9ffe5/t5","8. Bey Herrn Pullich zum Solothurn ist extra guter weisser Mußcateller -Wein, in billichem Preiß zu haben.","N",1,24938,1748-01-04,4,5,2,FALSE,FALSE,,,,,"de",,,"https://iiif.avisblatt.freizo.org/image/24942_0000/353,1786,1602,219/full/0/default.jpg","",,,,,,,,,"saleoffer"
"bfff7b0d-cdff-5fd3-9dcf-3c05c6b9ffe5/t6","9. Zwey in Frantzösisch Leder extra sauber gebundene Thommische Gesang-Bücher, das Stuck à 18. Batzen.","N",1,24938,1748-01-04,4,6,2,FALSE,FALSE,,,,,"de",,,"https://iiif.avisblatt.freizo.org/image/24942_0000/363,2005,1592,214/full/0/default.jpg","",,,,,,,,,"saleoffer"
"bfff7b0d-cdff-5fd3-9dcf-3c05c6b9ffe5/t7","10. Ein sauberer gut und daurhaffter Haußschlitten mit einem Bild, die Göttin Diana vorstellend, alles frisch gemahlt und weiß und grün angestrichen, und ist sich darum bey Herrn Seul in der Frau Weidmännin Haus an der Augustiner Gaß anzumelden.","N",1,24938,1748-01-04,4,7,2,FALSE,FALSE,,,,,"de",,,"https://iiif.avisblatt.freizo.org/image/24942_0000/368,2219,1587,449/full/0/default.jpg","",,,,,,,,,"saleoffer"
