"id","text","rev","issue","book","date","pageno","readingorder","inscribed","isheader","noadvert","lang","rnotes","expert_text","fragment1","fragment2","fragment3","fragment4","fragment5","fragment6","fragment7","fragment8","fragment9","fragment10","header_tag"
"68093b45-6ace-5594-8c8f-489fc5fe875c/t0","Es wird zum Verkauf angetragen:","N",1,19601,1784-01-01,7,1,1,TRUE,FALSE,,,,"https://iiif.avisblatt.freizo.org/image/19608_0000/378,1442,1516,184/full/0/default.jpg","","","",,,,,,,"saleoffer"
"68093b45-6ace-5594-8c8f-489fc5fe875c/t1","1. Ein paar neue Wasserstiefel; in billigem Preis.","N",1,19601,1784-01-01,7,2,1,FALSE,FALSE,,,,"https://iiif.avisblatt.freizo.org/image/19608_0000/378,1626,1516,179/full/0/default.jpg","","","",,,,,,,"saleoffer"
"68093b45-6ace-5594-8c8f-489fc5fe875c/t2","2. Schöne selbst gemachte Rysten, und gut gesotten Roßhaar; in billigem Preis. Bey Mstr. Johannes Bloch, dem Setler.","N",1,19601,1784-01-01,7,3,1,FALSE,FALSE,,,,"https://iiif.avisblatt.freizo.org/image/19608_0000/378,1805,1516,234/full/0/default.jpg","","","",,,,,,,"saleoffer"
"68093b45-6ace-5594-8c8f-489fc5fe875c/t3","3. Bey Hrn. Samuel Früh, dem Beck, ist zu haben: Rheinsand zum Zettlen, oder sonsten zu gebrauchen; à 5 bz. der Karren, für das Haus geführt.","N",1,19601,1784-01-01,7,4,1,FALSE,FALSE,,,,"https://iiif.avisblatt.freizo.org/image/19608_0000/378,2039,1516,318/full/0/default.jpg","","","",,,,,,,"saleoffer"
"68093b45-6ace-5594-8c8f-489fc5fe875c/t4","4. Eine hellsingende Nachtigall, welche schon über ein Viertejjahr das vollkommene Gesang führt.","N",1,19601,1784-01-01,7,5,1,FALSE,FALSE,,,,"https://iiif.avisblatt.freizo.org/image/19608_0000/378,2357,1516,233/full/0/default.jpg","","","",,,,,,,"saleoffer"
"68093b45-6ace-5594-8c8f-489fc5fe875c/t5","5. Die Schwestern Preiswerk, welche auf der Eisengaß zum Rößlein gewohnt haben, wohnen dermalen bey ihrem Bruder, Hrn. Abraham Preiswerk, dem Handschuhmacher an der Freyenstraß, allwo sie ihren Handel fortsetzen, auch fürterhin bey ihnen 5a 6- und 7viertelbreite gebleichte rystene Haustücher und Tischzeüg zu haben seyn; sie bitten E. E-Publicum um fernern geneigten Zuspruch, und werden sich bestreben, jederman billig unb bestmoglich zu bedienen.","N",1,19601,1784-01-01,7,6,1,FALSE,FALSE,,,,"https://iiif.avisblatt.freizo.org/image/19608_0000/378,2590,1516,955/full/0/default.jpg","","","",,,,,,,"saleoffer"
"68093b45-6ace-5594-8c8f-489fc5fe875c/t6","6. Mstr. Heinr. Weitnauer Schuhmacher in der St. Albanvorstadt, recommendiert sich wegen seinen selbstgeflochtenen Endischuhen und Ueberschuhe, von allen Sorten und Farben; man kan ihme nur einen Schuh zum Maaßeschicken; auch überzieht er die Weiberschuh aufs säuberste.","N",1,19601,1784-01-01,7,7,1,FALSE,FALSE,,,,"https://iiif.avisblatt.freizo.org/image/19608_0000/378,3545,1516,556/full/0/default.jpg","","","",,,,,,,"saleoffer"
"68093b45-6ace-5594-8c8f-489fc5fe875c/t7","7. Drey 15säumige weingrune Stücklein Faß, in Eisen gebunden, wovon 2 noch ganz neu; in billigem Preis.","N",1,19601,1784-01-01,7,8,1,FALSE,FALSE,,,,"https://iiif.avisblatt.freizo.org/image/19608_0000/363,4101,1531,140/full/0/default.jpg","https://iiif.avisblatt.freizo.org/image/19608_0000/1929,1462,1515,164/full/0/default.jpg","","",,,,,,,"saleoffer"
"68093b45-6ace-5594-8c8f-489fc5fe875c/t9","8. Die Packische Behausung in der Aeschervorstadt, zur Weihe genannt, samt Stallung und Garten; sodann die Packische Behausung an der Ubengaß. Man verspricht freyen Kauf, und ist sich bey Hrn. Gerichtsherrn und Not. von Mechel anzumelden.","N",1,19601,1784-01-01,7,9,1,FALSE,FALSE,,,,"https://iiif.avisblatt.freizo.org/image/19608_0000/1924,1626,1520,557/full/0/default.jpg","","","",,,,,,,"saleoffer"
"68093b45-6ace-5594-8c8f-489fc5fe875c/t10","9. Ein Kreutzstock, zwar alte doch auch noch brauchbare Fenster; eine noch in gutem Stand sich befindliche Waglen; eine grosse eiserne Platte und verschiedene Fäßlein; aus Mangel Platzes, in billigem Preis.","N",1,19601,1784-01-01,7,10,1,FALSE,FALSE,,,,"https://iiif.avisblatt.freizo.org/image/19608_0000/1914,2183,1530,392/full/0/default.jpg","","","",,,,,,,"saleoffer"
