"id","text","rev","issue","book","date","pageno","readingorder","inscribed","isheader","noadvert","adcontent","adtype","finance","keyword","lang","rnotes","expert_text","fragment1","fragment2","fragment3","fragment4","fragment5","fragment6","fragment7","fragment8","fragment9","fragment10","header_tag"
"b0604c45-882b-5f87-b695-2a26bb38ba76/t0","DAs Zwey und Viertzigste nach Sieb zehn hundert Jahr, So, durch des Höchsten Huld, ein Jahr des Segens war, s Hat nun den Lauff vollbracht und sich ins Nichts versenckt; Das Drey und Viertzigste, so gestern angefangen, Nimmt dessen Stelle ein, und also kommt gegangen Das Ende Unster Zeit; wohl dem ders recht bedenckt, und sich zur Ewigkeit, durch Buß und Glauben lenckt. Wie manchem hat das abgelauffne Jahr Vergnügen, Gut und Blut genommen Wie mancher Mensch ist auf die Baar Von Schmertzen ausgezehret kommen; Hat, manchem nicht ein feindlich Mörder-Schwerdt Sein Kind, uc. erwürgt, die Wohnung umgekehrt : Wie manchem hat die Flut, wie manchem hat der Brand Sein Gut hier eingeschluckt, dort lodernd aufgefressen, Dies alles hat der HErr (wie kan mans gnug ermessen) Von Uns, zum grösten Theil, in Gnaden abgewandt. Hingegen hat, bey vielem Sturm und Regen, uns GOttes Gnaden-Sannen-Stral Fast stündlich angeblickt, durch Seinen milden Segen; Ihm sey Lob Preiß und Danck für dieses allzumahl. Gieb ferner Grosser GOtt, daß Unserm -Häupter- Chore, 6Rähten- Dein reicher Segens-Guß aufs Neu zufliessen mg1 Mach blühen Unsre Stadt, und stehen Unsre Thore In Ihren Riegeln vest, und alles gehn den Weg Den es nach deinem Raht von Anfang gehen sollen; Der Lehrstand thu den Mund aufs Neue freudig auf; Der Nehrstand brauch mit Danck was du Ihn geben wollen; So schließt durch Deine Gnad sich aller Jahre Lauff.","N",1,24042,1743-01-02,3,1,"unpaginiert",FALSE,FALSE,,,,,"de",,,"https://iiif.avisblatt.freizo.org/image/24045_0000/362,2893,2862,1758/full/0/default.jpg","https://iiif.avisblatt.freizo.org/image/24046_0000/810,580,2374,1318/full/0/default.jpg","","",,,,,,,""
"afaf0870-b467-5343-939d-8d8d4b29451b/t1","Es wird zum Verkauff angetragen:","N",1,24042,1743-01-02,4,1,"2",TRUE,FALSE,,,,,"de",,,"https://iiif.avisblatt.freizo.org/image/24046_0000/331,1946,1641,124/full/0/default.jpg","","","",,,,,,,"saleoffer"
"afaf0870-b467-5343-939d-8d8d4b29451b/t2","1. Eine brave Behausung in Klein Basel, mit dreyen Stuben und übriger Bewohnung, wie der Augenschein zeigen wird, einem grossen Garten u.","N",1,24042,1743-01-02,4,2,"2",FALSE,FALSE,,,,,"de",,,"https://iiif.avisblatt.freizo.org/image/24046_0000/331,2070,1641,299/full/0/default.jpg","","","",,,,,,,"saleoffer"
"afaf0870-b467-5343-939d-8d8d4b29451b/t3","Ein etwas über eine Taue haltendes schönes 2. Stuck Matten vor dem Riehemer-Thor, dißseits der Schorrn-Bruck, ohnfern denen Indienne-Druckereyen ligend, an den Teuch stossend und die erste Wässerung geniessend; Sodann","N",1,24042,1743-01-02,4,3,"2",FALSE,FALSE,,,,,"de",,,"https://iiif.avisblatt.freizo.org/image/24046_0000/315,2369,1657,455/full/0/default.jpg","","","",,,,,,,"saleoffer"
"afaf0870-b467-5343-939d-8d8d4b29451b/t4","3. Ohngefehr ein und eine halbe Jucharten Reben und Bloßgeländ, auch vor dem Riehemer- Thor hinter der Sandgrube, mit einem neuen gemaurten Häußlein; und ist sich beyder dieser Stucken halben anzumelden, bey Herrn Johann Heinrich Oberriedt dem Jüngern, welcher dißfahls Commission hat.","N",1,24042,1743-01-02,4,4,"2",FALSE,FALSE,,,,,"de",,,"https://iiif.avisblatt.freizo.org/image/24046_0000/321,2824,1646,536/full/0/default.jpg","","","",,,,,,,"saleoffer"
"afaf0870-b467-5343-939d-8d8d4b29451b/t5","4. Ein sehr wenig getragenes, mithin noch so viel als neues Mannenkleyd von Englischen Segovie, bestehend in einem Rock, einem Kamisohl und einem Paar Hosen, für eine kurtze und besetzte Persohn , um billichen Preiß.","N",1,24042,1743-01-02,4,5,"2",FALSE,FALSE,,,,,"de",,,"https://iiif.avisblatt.freizo.org/image/24046_0000/321,3360,1646,372/full/0/default.jpg","","","",,,,,,,"saleoffer"
"afaf0870-b467-5343-939d-8d8d4b29451b/t6","Das Gasthauß zum guldenen Stuck auf der Aert- Brücke, samt dazu gehöriger Ziegel-Scheuer, Aeckern und Malten. Dieses Gast-Hauß ist groß und wohl gebauet, hat einen grossen Hof, grosse Scheuer und grosse bequeme Stallungen, einen grossen und einen kleineren Garten, alles mit einer Maur umgeben, auf einer sehr gangbaren Landstrasse, nemlich von Belfort nach Thann und Colmar, und von Druntrut nach denen besagten Orten, ꝛc. Wer weiteren Bericht zu haben verlanget, wolle sich in dem Bericht-Hauß anmelden.","N",1,24042,1743-01-02,4,6,"2",FALSE,FALSE,,,,,"de",,,"https://iiif.avisblatt.freizo.org/image/24046_0000/326,3732,1654,938/full/0/default.jpg","","","",,,,,,,"saleoffer"
"afaf0870-b467-5343-939d-8d8d4b29451b/t7","6. Zwey Fauteils, 2. Sessel, 2. Tabouretlin und 2. Tischlin, alles noch gantz neu und mit sauberen Tapetzerey-Stucken eingenäht.","N",1,24042,1743-01-02,4,7,"2",FALSE,FALSE,,,,,"de",,,"https://iiif.avisblatt.freizo.org/image/24046_0000/1975,1951,1690,238/full/0/default.jpg","","","",,,,,,,"saleoffer"
"afaf0870-b467-5343-939d-8d8d4b29451b/t8","7. Ein sauberes Rinden-Bettlin mit Stollen.","N",1,24042,1743-01-02,4,8,"2",FALSE,FALSE,,,,,"de",,,"https://iiif.avisblatt.freizo.org/image/24046_0000/1975,2189,1690,96/full/0/default.jpg","","","",,,,,,,"saleoffer"
"afaf0870-b467-5343-939d-8d8d4b29451b/t9","8. Bey Herrn Johann Conrad Ottendorf, Jünger an der Spahlen ist zu haben : allerhand frisch angelangte sortirte Stick-Wulle, von den feinesten Farben, beym Pfund oder Loth, auch Stränglin weis, das Stuck von allen Farben à 1. ß.","N",1,24042,1743-01-02,4,9,"2",FALSE,FALSE,,,,,"de",,,"https://iiif.avisblatt.freizo.org/image/24046_0000/1975,2285,1690,441/full/0/default.jpg","","","",,,,,,,"saleoffer"
