id,rev,issue,book,date,pageno,readingorder,inscribed,isheader,noadvert,adcontent,adtype,finance,keyword,lang,rnotes,text,expert_text,fragment1,fragment2,fragment3,fragment4,fragment5,fragment6,fragment7,fragment8,fragment9,fragment10,header_tag
5ac86862-e3d3-57a0-b36c-1e69cd8effc1/t0,N,1,19079,1783-01-02,5,1,1,TRUE,FALSE,,,,,de,,Es wird zum Verkaufangetragen:,,"https://iiif.avisblatt.freizo.org/image/19084_0000/379,1448,1494,182/full/0/default.jpg","","","","","","","","","",saleoffer
5ac86862-e3d3-57a0-b36c-1e69cd8effc1/t1,N,1,19079,1783-01-02,5,2,1,FALSE,FALSE,,,,,de,,1. Drey Säck Haber; stehend bey Hrn. Büchel in der Aeschervorstadt.,,"https://iiif.avisblatt.freizo.org/image/19084_0000/374,1630,1499,172/full/0/default.jpg","","","","","","","","","",saleoffer
5ac86862-e3d3-57a0-b36c-1e69cd8effc1/t2,N,1,19079,1783-01-02,5,3,1,FALSE,FALSE,,,,,de,,"2. Ein 2thüriger Kasten, mit 32 Schubladen; 2 Bethstätte, eine einschläfrig, und die andere zweyschläferig; von Nußbaum; noch gan; neu.",,"https://iiif.avisblatt.freizo.org/image/19084_0000/369,1802,1504,322/full/0/default.jpg","","","","","","","","","",saleoffer
5ac86862-e3d3-57a0-b36c-1e69cd8effc1/t3,N,1,19079,1783-01-02,5,4,1,FALSE,FALSE,,,,,de,,"3. Vier schöne Tiegerhäute, zu Pferdtedecken; der Preis samt Länge und Breite davon, kan durch das Berichthaus vernommen werden.",,"https://iiif.avisblatt.freizo.org/image/19084_0000/369,2124,1504,313/full/0/default.jpg","","","","","","","","","",saleoffer
5ac86862-e3d3-57a0-b36c-1e69cd8effc1/t4,N,1,19079,1783-01-02,5,5,1,FALSE,FALSE,,,,,de,,4. Extra schöne dißjährige Hahnen.,,"https://iiif.avisblatt.freizo.org/image/19084_0000/374,2397,1499,124/full/0/default.jpg","","","","","","","","","",saleoffer
5ac86862-e3d3-57a0-b36c-1e69cd8effc1/t5,N,1,19079,1783-01-02,5,6,1,FALSE,FALSE,,,,,de,,"5. Bey Hrn. Remigius Meyer, sind wiederum frische Meextrauben und Brugnoles angelangt, und in billigem Preis zu haben.",,"https://iiif.avisblatt.freizo.org/image/19084_0000/374,2521,1499,244/full/0/default.jpg","","","","","","","","","",saleoffer
5ac86862-e3d3-57a0-b36c-1e69cd8effc1/t6,N,1,19079,1783-01-02,5,7,1,FALSE,FALSE,,,,,de,,"6. Bey Frau Ronus am Schlüsselberg, sind nebst ihren längst bekannten Waaren, ganz frisch angelangt: sehr schöner schwarzer unappretierter Atlas zu Beinkleidern und Pelzmänteln; eine ganz neue Facon Lautertuch mit Mouches; feine Pomaden und wohlriechende Wasser; verschiedene Sachen, dienlich zu Neuiahrgeschenken für Kinder, sehr schöne gestickte Herren-Manchettes; seidene Strümpf und englisch wollene; einige Stucke feinen Schweitzer-Leinwand und Rysten-Haustuch; alles in billigen Preisen.",,"https://iiif.avisblatt.freizo.org/image/19084_0000/369,2765,1504,1009/full/0/default.jpg","","","","","","","","","",saleoffer
5ac86862-e3d3-57a0-b36c-1e69cd8effc1/t7,N,1,19079,1783-01-02,5,8,1,FALSE,FALSE,,,,,de,,"7. Süsse grosse Bücking, grosse Häring ,französische grosse Maronen und Castanien neue Oliven, sind frisch angelangt und bey Hrn. J. J. Bauler an der untern Freyenstraß zu haben.",,"https://iiif.avisblatt.freizo.org/image/19084_0000/379,3774,1494,414/full/0/default.jpg","","","","","","","","","",saleoffer
5ac86862-e3d3-57a0-b36c-1e69cd8effc1/t8,N,1,19079,1783-01-02,5,9,1,FALSE,FALSE,,,,,de,,"8. Bey Mstr. Andreas Beck am Klosterberg, sind schöne Meextrauben, das Bà 3 ß. zu haben.",,"https://iiif.avisblatt.freizo.org/image/19084_0000/1893,1433,1495,258/full/0/default.jpg","","","","","","","","","",saleoffer
5ac86862-e3d3-57a0-b36c-1e69cd8effc1/t9,N,1,19079,1783-01-02,5,10,1,FALSE,FALSE,,,,,de,,"9. Bey Hrn. Daniel de Robert Mitz am Rindermarkt, sind zu haben : frische geweichte und ungeweichte Stockfisch; frische grosse holländische Haring; dito grosse holländische Bücking und guter Ursulakas-",,"https://iiif.avisblatt.freizo.org/image/19084_0000/1888,1691,1500,388/full/0/default.jpg","","","","","","","","","",saleoffer
