id,rev,issue,book,date,pageno,readingorder,inscribed,isheader,noadvert,lang,rnotes,text,expert_text,fragment1,fragment2,fragment3,fragment4,fragment5,fragment6,fragment7,fragment8,fragment9,fragment10,header_tag
81f4998c-d7d1-5db2-a3ad-5eb592fbfe0f/t0,N,1,16630,1764-01-05,5,1,1,TRUE,FALSE,,,Es wird zum Verkauf angetragen:,,"https://iiif.avisblatt.freizo.org/image/16635_0000/277,1237,1529,136/full/0/default.jpg","","","","","","","","","",saleoffer
81f4998c-d7d1-5db2-a3ad-5eb592fbfe0f/t1,N,1,16630,1764-01-05,5,2,1,FALSE,FALSE,,,1. Bey Herrn Hieronimus Gemuseus an der Gerbergaß ist wiederum guter Parmesaner-Käß zu haben.,,"https://iiif.avisblatt.freizo.org/image/16635_0000/277,1373,1529,246/full/0/default.jpg","","","","","","","","","",saleoffer
81f4998c-d7d1-5db2-a3ad-5eb592fbfe0f/t2,N,1,16630,1764-01-05,5,3,1,FALSE,FALSE,,,"2. Ein schöner Stock vom besten unberegneten Heu, unweit der Stadt gewachsen, bey Hr. Emanuel Ritter auf dem Spalenthurn zu erfragen.",,"https://iiif.avisblatt.freizo.org/image/16635_0000/277,1619,1529,312/full/0/default.jpg","","","","","","","","","",saleoffer
81f4998c-d7d1-5db2-a3ad-5eb592fbfe0f/t3,N,1,16630,1764-01-05,5,4,1,FALSE,FALSE,,,3. Eine Grube voll wohlverwärter Bau am Bäumlein gegen der Presenz über zu erfragen.,,"https://iiif.avisblatt.freizo.org/image/16635_0000/277,1931,1529,156/full/0/default.jpg","","","","","","","","","",saleoffer
81f4998c-d7d1-5db2-a3ad-5eb592fbfe0f/t4,N,1,16630,1764-01-05,5,5,1,FALSE,FALSE,,,4. Bey Hr. Hans Jacob Jäcklin auf der Eisengaß ist guter alter Ursuler-Käß in billigem Preis zu haben.,,"https://iiif.avisblatt.freizo.org/image/16635_0000/277,2087,1529,226/full/0/default.jpg","","","","","","","","","",saleoffer
81f4998c-d7d1-5db2-a3ad-5eb592fbfe0f/t5,N,1,16630,1764-01-05,5,6,1,FALSE,FALSE,,,"Zwey nußbäumerne Bethladen, in billigem Preis, im Berichthaus zu erfragen.",,"https://iiif.avisblatt.freizo.org/image/16635_0000/277,2313,1529,156/full/0/default.jpg","","","","","","","","","",saleoffer
81f4998c-d7d1-5db2-a3ad-5eb592fbfe0f/t6,N,1,16630,1764-01-05,5,7,1,FALSE,FALSE,,,"6. Eine Wand-Uhr mit einem Wecker, in billigem Preis, im Berichthaus zu erfragen.",,"https://iiif.avisblatt.freizo.org/image/16635_0000/277,2469,1529,150/full/0/default.jpg","","","","","","","","","",saleoffer
81f4998c-d7d1-5db2-a3ad-5eb592fbfe0f/t7,N,1,16630,1764-01-05,5,8,1,FALSE,FALSE,,,"7. Ohngefehr 4. Saum extra guter rother Margräfer-Wein von An. 1760. à 5 NThlr. der Saum; Item weisser 62ger à 4 NThlr. davon man vom weissen nach Belieben haben kan; wie auch etliche gute weingrüne Stücklein Faß in Eisen gebunden in billigem Preis, im Berichthaus ohne Entgeldt zu erfragen.",,"https://iiif.avisblatt.freizo.org/image/16635_0000/277,2619,1529,538/full/0/default.jpg","","","","","","","","","",saleoffer
81f4998c-d7d1-5db2-a3ad-5eb592fbfe0f/t8,N,1,16630,1764-01-05,5,9,1,FALSE,FALSE,,,"8. Bey Hrn. Emanuel Iselin im Stupanischen Laden auf der Eisengaß sind nebst seinen schon bekannten Waaren zu haben: Extra schöne Rysten in billigem Preis; desgleichen ist bey obgemeldtem in Commißion zu haben le Baume merveilleux, dessen gute Eigenschaften sind bey ihme auf gedruckten Zeduln gratis zu sehen, das Gläslein à 10 Liv. de France.",,"https://iiif.avisblatt.freizo.org/image/16635_0000/277,3157,1529,623/full/0/default.jpg","","","","","","","","","",saleoffer
81f4998c-d7d1-5db2-a3ad-5eb592fbfe0f/t9,N,1,16630,1764-01-05,5,10,1,FALSE,FALSE,,,"9. Im Berichthaus ist eine kleine Büffet-Uhr, die Stunden und Minuten zeigt, à 3 NThaler zu haben.",,"https://iiif.avisblatt.freizo.org/image/16635_0000/262,3780,1539,232/full/0/default.jpg","","","","","","","","","",saleoffer
