id,rev,issue,book,date,pageno,readingorder,inscribed,isheader,noadvert,lang,rnotes,text,expert_text,fragment1,fragment2,fragment3,fragment4,fragment5,fragment6,fragment7,fragment8,fragment9,fragment10,header_tag
00a60363-2a4e-522e-9f24-a6df169ad999/t0,N,1,22982,1736-01-03,1,1,,FALSE,FALSE,,,"S wechseln abermahl die wandelbaren Zeiten, Das alte Jahr hat nun dem Reuen Platz gemacht; B¬ So geht es insgemein mit allen Eitelkeiten, Was gestern hoch geschätzt wird heut nicht viel geachtl, Allein nur GOttes Güt bleibt immer ob uns stehen, ie krönet Tag und Jahr mit ihrem Uberfluß; Wir dörffen nur mit Fleiß auff das Vergangne sehen, So wird uns auffgedeckt ein reicher Segens-Guß. Wie hat uns GOtt bißher in denen trüben Zeiten, Da der ergrimmte Mars viel Tausend hingerafft, In unserm Vatterland ohn alle Fährlichkeiten Erhalten, und dabey viel Ruh und Fried verschafft à Von Feur- und Wassers-Noth hat Er uns auch verschonet, All Seuchen überhaubt in Gnaden abgewandt; Mit Theurung, Hungers-Roth hat Er uns nicht gelohnet, Ob schon fast um und um die Zufuhr war verbannt, Sein Wort hat Er uns mit Evangelisten-Schaaren Verkündet, und anbey die Pfänder seiner Gnad Die theuren Sacrament uns lassen wiederfahren: Ihm sey Lob, Preiß und Danck gesaget früh und spath. Das Scepter hat Er auch in Basel vest erhalten, Und bey der Freyheit uns gantz vätterlich geschützt; Regenten, die bey uns die Policey verwalten, Sind unßre Vätter; und nicht als Thrannen gsetzt. Wir dancken dir demnach für so viel Gnad und Güte D grosses All l die du uns biß hieher erzeigt: Ach sey doch fernerhin uns gnädig und geneigt: Beschütze Basel, und behute All die darinnen sind vor Kümmer und Gefahr, Und gib uns was uns nützt in diesem neuen Jahr.",,"https://iiif.avisblatt.freizo.org/image/22983_0000/597,2139,2963,3361/full/0/default.jpg","","","","","","","","","",
00a60363-2a4e-522e-9f24-a6df169ad999/t1,N,1,22982,1736-01-03,1,2,,TRUE,FALSE,,,Es wird zum Verkauff angetragen:,,"https://iiif.avisblatt.freizo.org/image/22983_0000/330,5536,1989,110/full/0/default.jpg","","","","","","","","","",saleoffer
00a60363-2a4e-522e-9f24-a6df169ad999/t2,N,1,22982,1736-01-03,1,3,,FALSE,FALSE,,,1. Eine Parthey Faß oder Stücklein in Hols gebunden.,,"https://iiif.avisblatt.freizo.org/image/22983_0000/330,5646,1989,109/full/0/default.jpg","","","","","","","","","",saleoffer
00a60363-2a4e-522e-9f24-a6df169ad999/t3,N,1,22982,1736-01-03,1,4,,FALSE,FALSE,,,"2. Zu Dornach an der Brugg ist ein Stock Futer vom letstern Jahrgang , 7. Schuhe hoch 77. Schuhe dick, und 16 Klaffter lang, in billichem Preiß zu haden, und deßhalben mit jemanden allhier zu handeln.",,"https://iiif.avisblatt.freizo.org/image/22983_0000/330,5755,1989,293/full/0/default.jpg","","","","","","","","","",saleoffer
00a60363-2a4e-522e-9f24-a6df169ad999/t4,N,1,22982,1736-01-03,1,5,,FALSE,FALSE,,,"3. Drey brave Eichene Thuren, deren zwey wohl beschlagen, sind um billichen Preiß zu haben.",,"https://iiif.avisblatt.freizo.org/image/22983_0000/330,6048,1989,163/full/0/default.jpg","","","","","","","","","",saleoffer
00a60363-2a4e-522e-9f24-a6df169ad999/t5,N,1,22982,1736-01-03,1,6,,FALSE,FALSE,,,4. Ein Wagkengel.,,"https://iiif.avisblatt.freizo.org/image/22983_0000/328,6212,1989,73/full/0/default.jpg","","","","","","","","","",saleoffer
00a60363-2a4e-522e-9f24-a6df169ad999/t6,N,1,22982,1736-01-03,1,7,,FALSE,FALSE,,,"1. Ein grosser 4. thüriger Kasten, von Ahornen-Holg, welcher so wohl als dessen Schloß und Beschläg ein Meisterstuck, und doch in billichem Preiß zu haben ist.",,"https://iiif.avisblatt.freizo.org/image/22983_0000/324,6288,1990,215/full/0/default.jpg","","","","","","","","","",saleoffer
00a60363-2a4e-522e-9f24-a6df169ad999/t7,N,1,22982,1736-01-03,1,8,,FALSE,FALSE,,,6. Lettres de Rabutin Comte de Bussv. 8. 5. Vol.,,"https://iiif.avisblatt.freizo.org/image/22983_0000/325,6503,1990,74/full/0/default.jpg","","","","","","","","","",saleoffer
00a60363-2a4e-522e-9f24-a6df169ad999/t8,N,1,22982,1736-01-03,1,9,,FALSE,FALSE,,,7. Ciccronis Epistolae cum notis Cellarii- 8.,,"https://iiif.avisblatt.freizo.org/image/22983_0000/326,6577,1990,79/full/0/default.jpg","","","","","","","","","",saleoffer
00a60363-2a4e-522e-9f24-a6df169ad999/t9,N,1,22982,1736-01-03,1,10,,FALSE,FALSE,,,8 Isage Wiertzen Wechsel-Arbitragen-Tractat. 4.,,"https://iiif.avisblatt.freizo.org/image/22983_0000/327,6656,1990,80/full/0/default.jpg","","","","","","","","","",saleoffer
